"","Unique_ID","Site","Block","Position","Genotype","ACI","LT","LPS","LMA","ImageJ_1","ImageJ_2","LBI","logLBI","logACI","logLT","logLPS","logLMA"
"1","CF_11_10_F2YW","CF",11,10,"F2YW",NA,NA,NA,NA,252277,269174,0.0627735219597732,-1.20222350421873,NA,NA,NA,NA
"2","CF_11_11_F2YW","CF",11,11,"F2YW",NA,NA,NA,NA,11210,12280,NA,NA,NA,NA,NA,NA
"3","CF_11_12_F2YW","CF",11,12,"F2YW",NA,NA,NA,NA,135016,142228,0.0506114168717246,-1.29575150440316,NA,NA,NA,NA
"4","CF_11_13_G","CF",11,13,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","CF_11_14_G","CF",11,14,"G",1.3,218,NA,NA,NA,NA,NA,NA,0.113943352306837,2.3384564936046,NA,NA
"6","CF_11_15_G","CF",11,15,"G",2.96666666666666,261.5,NA,NA,NA,NA,NA,NA,0.47226875192525,2.41747169320329,NA,NA
"7","CF_11_16_G","CF",11,16,"G",1.6,185,NA,NA,NA,NA,NA,NA,0.204119982655925,2.26717172840301,NA,NA
"8","CF_11_17_G","CF",11,17,"G",1.46666666666667,239,NA,NA,NA,NA,NA,NA,0.166331421766525,2.37839790094814,NA,NA
"9","CF_11_18_G","CF",11,18,"G",1.66666666666667,212,NA,NA,NA,NA,NA,NA,0.221848749616356,2.32633586092875,NA,NA
"10","CF_11_19_L","CF",11,19,"L",0,NA,NA,NA,NA,NA,NA,NA,-Inf,NA,NA,NA
"11","CF_11_1_F2WY","CF",11,1,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","CF_11_20_L","CF",11,20,"L",1.5,290,NA,NA,10911,11874,NA,NA,0.176091259055681,2.46239799789896,NA,NA
"13","CF_11_21_L","CF",11,21,"L",1.63333333333333,235,NA,NA,11474,12500,NA,NA,0.213074825308851,2.37106786227174,NA,NA
"14","CF_11_22_L","CF",11,22,"L",1.66666666666667,236,NA,NA,10747,11890,NA,NA,0.221848749616356,2.37291200297011,NA,NA
