"","X","Unique_ID","Site","Block","Genotype","ACI","LT","LPS","LMA","ImageJ_1","ImageJ_2","logACI","logLT","logLPS","logLMA","Observed","Shannon","Simpson_1minusD","hill_2","hill_1"
"1","1-CF_11_10_F2YW","CF_11_10_F2YW","CF","11","F2YW",NA,NA,NA,NA,252277,269174,NA,NA,NA,NA,32,2.11717959480668,0.734022485207101,3.75971630827004,8.30767340891007
"2","1-CF_11_12_F2YW","CF_11_12_F2YW","CF","11","F2YW",NA,NA,NA,NA,252713,266185,NA,NA,NA,NA,30,1.89978584868471,0.766015384615385,4.27378525872838,6.68446280248982
"3","1-CF_11_4_F2WY","CF_11_4_F2WY","CF","11","F2WY",NA,NA,NA,NA,123536,129979,NA,NA,NA,NA,26,2.06733469534133,0.747222485207101,3.95604807183622,7.90372917325613
"4","1-CF_11_5_F2WY","CF_11_5_F2WY","CF","11","F2WY",NA,NA,NA,NA,108031,116142,NA,NA,NA,NA,31,1.84171298128155,0.699301775147929,3.32559329371483,6.3073333564649
"5","1-CF_11_8_F2YW","CF_11_8_F2YW","CF","11","F2YW",NA,NA,NA,NA,57872,62436,NA,NA,NA,NA,24,2.17033553940085,0.832808284023669,5.98115758403703,8.76122328320859
"6","1-CF_11_G_POOL","CF_11_G_POOL","CF","11","G",1.75714285714286,211.5,NA,NA,NA,NA,0.244807071425141,2.32531037171106,NA,NA,18,0.840515013998744,0.324549112426035,1.48049253971925,2.31756024544902
"7","1-CF_11_L_POOL","CF_11_L_POOL","CF","11","L",1.47777777777778,258.857142857143,NA,NA,10121.6666666667,11066.5,0.169609131527761,2.41306015332654,NA,NA,37,1.99477047064064,0.768447337278107,4.31867199558422,7.35051567509584
"8","1-CF_13_10_F2YW","CF_13_10_F2YW","CF","13","F2YW",NA,NA,NA,NA,108490,113776,NA,NA,NA,NA,31,1.52941354114495,0.553823668639053,2.24126635527652,4.61546924562691
"9","1-CF_13_8_F2YW","CF_13_8_F2YW","CF","13","F2YW",NA,NA,NA,NA,104449,110960,NA,NA,NA,NA,37,2.35253163672662,0.865962130177515,7.46057812858682,10.5121490084917
"10","1-CF_13_L_POOL","CF_13_L_POOL","CF","13","L",1.36666666666667,260.75,NA,NA,NA,NA,0.135662602000073,2.41622431709857,NA,NA,31,1.91104737813687,0.745222485207101,3.9249931486806,6.76016554146118
