"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA
"2","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"3","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
"4","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae","g__Botrytis","s__caroliniana"
"5","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__patagonica"
"6","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA
"7","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"8","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__tenuissima"
"9","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__heimaeyensis"
"10","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
"11","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__heimaeyensis"
"12","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__tephrensis"
"13","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Juncaceicola",NA
"14","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__tephrensis"
"15","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Juncaceicola",NA
"16","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__hydrangeae-macrophyllae"
"17","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Septoria","s__glycinicola"
"18","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"19","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"20","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Ascochyta","s__var._macrospora"
"21","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA
"22","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__tenuissima"
"23","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA
"24","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","g__Plectosphaerella",NA
