PCR2_plate,type,Sample_ID,concentration
P1,sample,OPN_53_7_F2WY,1.78
P1,sample,OPN_27_7_F2WY,1.77
P1,sample,OPN_11_22_F2YW,1.79
P1,sample,CF_35_G_POOL,2.14
P1,sample,CF_11_G_POOL,1.97
P1,sample,OPN_35_18_F2WY,2.06
P1,sample,CF_5_6_F2WY,1.21
P1,sample,OPN_51_6_F2WY,1.58
P1,sample,OPN_11_15_F2WY,2.16
P1,sample,CF_5_5_F2WY,3.72
P1,sample,CF_27_L_POOL,2.68
P1,sample,LM_47_10_F2YW,2.88
P1,sample,CF_11_5_F2WY,2.06
P1,sample,CF_39_G_POOL,2.76
P1,sample,CF_49_8_F2YW,2.76
P1,sample,OPN_53_3_F2WY,2.7
P1,sample,CF_5_1_F2WY,2.24
P1,sample,CF_23_L_POOL,2.32
P1,sample,CF_17_12_F2YW,2.32
P1,sample,CF_17_1_F2WY,2.08
P1,sample,OPN_13_19_F2WY,2.08
P1,sample,CF_5_4_F2WY,2.78
P1,sample,CF_27_8_F2YW,2.82
P1,sample,CF_11_L_POOL,1.79
P1,sample,CF_11_12_F2YW,1.41
P1,sample,CF_49_L_POOL,1.56
P1,sample,OPN_53_L_POOL,1.65
P1,sample,OPN_53_14_F2YW,1.84
P1,sample,CF_5_11_F2YW,1.82
P1,sample,OPN_23_6_F2YW,1.01
P1,sample,CF_21_2_F2WY,1.04
P1,sample,OPN_13_1_F2WY,1.37
P1,sample,CF_5_3_F2WY,1.38
P1,sample,CF_49_11_F2YW,0.812
P1,sample,LM_19_L_POOL,1.07
P1,sample,OPN_7_4_F2WY,0.716
P1,sample,CF_9_L_POOL,0.874
P1,sample,LM_15_G_POOL,1.31
P1,sample,CF_35_8_F2YW,0.952
P1,sample,CF_5_L_POOL,0.938
P1,sample,LM_47_6_F2YW,1.56
P1,sample,CF_47_4_F2WY,1.13
P1,sample,CF_37_4_F2WY,0.59
P1,sample,OPN_21_9_F2YW,0.606
P1,sample,LM_25_24_F2WY,0
P1,sample,CF_11_4_F2WY,0.714
P1,sample,CF_49_9_F2YW,0.674
P1,sample,CF_27_2_F2WY,0.578
P1,sample,CF_27_G_POOL,1.63
P1,sample,LM_11_18_F2YW,3.38
P1,sample,CF_53_G_POOL,2.68
P1,sample,LM_31_20_F2WY,3.44
P1,sample,CF_51_G_POOL,2.98
P1,sample,CF_11_10_F2YW,3.96
P1,sample,CF_7_6_F2WY,3.08
P1,sample,CF_49_2_F2WY,2.34
P1,sample,OPN_33_4_F2WY,0.142
P1,sample,LM_19_G_POOL,3.02
P1,sample,OPN_7_8_F2WY,2.34
P1,sample,OPN_7_18_F2WY,1.9
P1,sample,OPN_21_L_POOL,1.77
P1,sample,OPN_9_L_POOL,3.56
P1,sample,OPN_19_20_F2YW,4.04
